Index,phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
4015,3,28757,11243,0.010179025,0.010094775,0.010087225,0.0100341,0.0100341,0.0100341
4016,3,28739,11261,0.0101789,0.010094825,0.010087175,0.01003415,0.01003415,0.01003415
4017,3,28721,11279,0.0101788,0.010094875,0.010087125,0.0100342,0.0100342,0.0100342
4018,3,29873,10127,0.01018595,0.01018595,0.0100906,0.010030725,0.010030725,0.0100307
4019,3,28703,11297,0.010178675,0.010178675,0.01008705,0.01003425,0.01003425,0.01003425
4020,3,28685,11315,0.010178575,0.010178575,0.010087,0.010034325,0.010034325,0.0100343
4021,3,28667,11333,0.01017845,0.01017845,0.01008695,0.010034375,0.010034375,0.010034375
4022,3,28649,11351,0.01017835,0.0100951,0.0100869,0.010034425,0.010034425,0.010034425
4023,3,28631,11369,0.010178225,0.01009515,0.01008685,0.010034475,0.010034475,0.010034475
4024,3,28613,11387,0.010178125,0.010178125,0.0100868,0.010034525,0.010034525,0.010034525
4025,3,28595,11405,0.010178,0.010178,0.010086725,0.0100346,0.0100346,0.010034575
4026,3,28577,11423,0.0101779,0.0101779,0.010086675,0.01003465,0.01003465,0.010034625
4027,3,28559,11441,0.010177775,0.010095375,0.010086625,0.0100347,0.0100347,0.0100347
4028,3,28541,11459,0.010177675,0.010095425,0.010086575,0.01003475,0.01003475,0.01003475
4029,3,29855,10145,0.010185825,0.010185825,0.01009055,0.010030775,0.010030775,0.01003075
4030,3,28523,11477,0.01017755,0.01017755,0.010086525,0.0100348,0.0100348,0.0100348
4031,3,28505,11495,0.01017745,0.01017745,0.01008645,0.010034875,0.010034875,0.01003485
4032,3,28487,11513,0.010177325,0.010177325,0.0100864,0.010034925,0.010034925,0.0100349
4033,3,28469,11531,0.010177225,0.01009565,0.01008635,0.010034975,0.010034975,0.010034975
4034,3,28451,11549,0.010177125,0.0100957,0.0100863,0.010035025,0.010035025,0.010035025
4035,3,28433,11567,0.010177,0.010177,0.01008625,0.010035075,0.010035075,0.010035075
4036,3,28415,11585,0.0101769,0.0101769,0.0100862,0.010035125,0.010035125,0.010035125
4037,3,28397,11603,0.010176775,0.010176775,0.010086125,0.0100352,0.0100352,0.010035175
4038,3,28379,11621,0.010176675,0.010095925,0.010086075,0.01003525,0.01003525,0.010035225
4039,3,28361,11639,0.01017655,0.010095975,0.010086025,0.0100353,0.0100353,0.0100353
4040,3,29837,10163,0.010185725,0.010185725,0.0100905,0.010030825,0.010030825,0.010030825
4041,3,28343,11657,0.01017645,0.01017645,0.010085975,0.01003535,0.01003535,0.01003535
4042,3,28325,11675,0.010176325,0.010176325,0.010085925,0.0100354,0.0100354,0.0100354
4043,3,28307,11693,0.010176225,0.010176225,0.01008585,0.010035475,0.010035475,0.01003545
4044,3,28289,11711,0.0101761,0.0101761,0.0100858,0.010035525,0.010035525,0.0100355
4045,3,28271,11729,0.010176,0.01009625,0.01008575,0.010035575,0.010035575,0.010035575
4046,3,28253,11747,0.010175875,0.010175875,0.0100857,0.010035625,0.010035625,0.010035625
4047,3,28235,11765,0.010175775,0.010175775,0.01008565,0.010035675,0.010035675,0.010035675
4048,3,28217,11783,0.01017565,0.01017565,0.0100856,0.010035725,0.010035725,0.010035725
4049,3,28199,11801,0.01017555,0.01017555,0.010085525,0.0100358,0.0100358,0.010035775
4050,3,28181,11819,0.010175425,0.010096525,0.010085475,0.01003585,0.01003585,0.01003585
4051,3,29819,10181,0.010185625,0.010185625,0.01009045,0.010030875,0.010030875,0.010030875
4052,3,28163,11837,0.010175325,0.010096575,0.010085425,0.0100359,0.0100359,0.0100359
4053,3,28145,11855,0.0101752,0.0101752,0.010085375,0.01003595,0.01003595,0.01003595
4054,3,28127,11873,0.0101751,0.0101751,0.010085325,0.010036,0.010036,0.010036
4055,3,28109,11891,0.010175,0.010175,0.01008525,0.010036075,0.010036075,0.01003605
4056,3,28091,11909,0.010174875,0.010174875,0.0100852,0.010036125,0.010036125,0.0100361
4057,3,28073,11927,0.010174775,0.01009685,0.01008515,0.010036175,0.010036175,0.010036175
4058,3,28055,11945,0.01017465,0.01017465,0.0100851,0.010036225,0.010036225,0.010036225
4059,3,28037,11963,0.01017455,0.01017455,0.01008505,0.010036275,0.010036275,0.010036275
4060,3,28019,11981,0.010174425,0.010174425,0.010084975,0.010036325,0.010036325,0.010036325
4061,3,28001,11999,0.010174325,0.010174325,0.010084925,0.0100364,0.0100364,0.010036375
4062,3,29801,10199,0.0101855,0.0101855,0.0100904,0.010030925,0.010030925,0.010030925
4063,3,29981,10019,0.010186625,0.010186625,0.01009095,0.010030375,0.010030375,0.010030375
4064,3,27983,12017,0.0101742,0.010097125,0.010084875,0.01003645,0.01003645,0.01003645
4065,3,27965,12035,0.0101741,0.0101741,0.010084825,0.0100365,0.0100365,0.0100365
4066,3,27947,12053,0.010173975,0.010173975,0.010084775,0.01003655,0.01003655,0.01003655
4067,3,27929,12071,0.010173875,0.010173875,0.010084725,0.0100366,0.0100366,0.0100366
