phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3,20404,404,0.0,0.0,0.0100619,0.01000125,0.01000125,0.01000125
3,24083,4083,0.010335025,0.01045925,0.01007305,0.0100124,0.0100124,0.0100124
3,24129,4129,0.0,0.0,0.0100732,0.01001255,0.01001255,0.01001255
3,24136,4136,0.010134275,0.010134275,0.0100732,0.01001255,0.01001255,0.01001255
3,24148,4148,0.010335425,0.010459625,0.01007325,0.0100126,0.0100126,0.0100126
3,24227,4227,0.010335925,0.010460125,0.0100735,0.010012825,0.010012825,0.010012825
3,24273,4273,0.0,0.0,0.010073625,0.010012975,0.010012975,0.010012975
3,24280,4280,0.0101347,0.0101347,0.01007365,0.010013,0.010013,0.010013
3,24292,4292,0.010460525,0.010460525,0.010073675,0.010013025,0.010013025,0.010013025
3,24371,4371,0.010336725,0.010461025,0.010073925,0.010013275,0.010013275,0.010013275
3,24417,4417,0.0,0.0,0.010074075,0.010013425,0.010013425,0.010013425
3,24424,4424,0.010135125,0.010135125,0.010074075,0.010013425,0.010013425,0.010013425
3,24436,4436,0.010337125,0.010461425,0.010074125,0.010013475,0.010013475,0.010013475
3,24515,4515,0.010337625,0.010461925,0.01007435,0.0100137,0.0100137,0.0100137
3,24561,4561,0.0,0.0,0.0100745,0.01001385,0.01001385,0.01001385
3,24568,4568,0.01013555,0.01013555,0.010074525,0.010013875,0.010013875,0.010013875
3,24580,4580,0.0103381,0.0104623,0.01007455,0.0100139,0.0100139,0.0100139
3,24659,4659,0.010135825,0.0104628,0.0100748,0.01001415,0.01001415,0.01001415
3,24705,4705,0.0,0.0,0.01007495,0.0100143,0.0100143,0.010014275
3,24712,4712,0.010135975,0.010135975,0.01007495,0.0100143,0.0100143,0.0100143
3,24724,4724,0.010338925,0.010463225,0.010075,0.01001435,0.01001435,0.01001435
3,24803,4803,0.01013625,0.010463725,0.010075225,0.010014575,0.010014575,0.010014575
3,20483,483,0.0,0.0,0.010062125,0.010001475,0.010001475,0.010001475
3,24849,4849,0.0,0.0,0.010075375,0.010014725,0.010014725,0.010014725
3,24856,4856,0.010136425,0.0101364,0.0100754,0.01001475,0.01001475,0.01001475
3,24868,4868,0.01013645,0.010464125,0.010075425,0.010014775,0.010014775,0.010014775
3,24947,4947,0.010136675,0.010464625,0.010075675,0.010015025,0.010015025,0.010015025
3,24993,4993,0.0,0.0,0.010075825,0.010015175,0.010015175,0.01001515
3,25000,5000,0.01013685,0.010136825,0.010075825,0.010015175,0.010015175,0.010015175
3,25012,5012,0.010136875,0.010465025,0.010075875,0.010015225,0.010015225,0.010015225
3,25091,5091,0.0101371,0.010465525,0.0100761,0.01001545,0.01001545,0.01001545
3,25137,5137,0.0,0.0,0.01007625,0.0100156,0.0100156,0.0100156
3,25144,5144,0.010137275,0.01013725,0.010076275,0.010015625,0.010015625,0.010015625
